2001,Holy Cross,22,7
2001,Illinois,24,7
2001,Indiana,21,12
2001,Indiana ST,21,11
2001,Iona,22,10
2001,Iowa,22,11
2001,Iowa ST,25,5
2001,Kansas,24,6
2001,Kent ST,23,9
2001,Kentucky,22,9
2001,Maryland,21,10
2001,Michigan ST,24,4
2001,OLE MISS,25,7
2001,Missouri,19,12
2001,MONMOUTH,21,9
2001,N CAROLINA,25,6
2001,UNC-GREENSBORO,19,11
2001,NORTHWESTERN ST,18,12
2001,Notre Dame,19,9
2001,Ohio ST,20,10
2001,Oklahoma,26,6
2001,Oklahoma ST,19,8
2001,PENN ST,19,11
2001,Princeton,16,10
2001,Providence,21,9
2001,USC,21,9
2001,SOUTHERN UTAH,25,5
2001,ST JOSEPHS,25,6
2001,Stanford,28,2
2001,Syracuse,24,8
2001,Temple,21,12
2001,Tennessee,22,10
2001,Texas,25,8
2001,UCLA,21,8
2001,Utah ST,27,5
2001,Virginia,20,8
2001,Wake Forest,19,10
2001,W Kentucky,24,6
2001,Winthrop,18,12
2001,Wisconsin,18,10
2001,XAVIER,21,7
2002,Alabama,26,7
2002,Alcorn ST,21,9
2002,Arizona,22,9
2002,BOSTON U,22,9
2002,Boston College,20,11
2002,California,22,8
2002,UC-SANTA BARBARA,20,10
2002,C CONN ST,27,4
2002,Charlotte,18,11
2002,Cincinnati,30,3
2002,Connecticut,24,6
2002,Creighton,22,8
2002,Davidson,21,9
2002,Duke,29,3
2002,Florida,22,8
2002,FLA ATLANTIC,19,11
2002,Georgia,21,9
2002,Gonzaga,29,3
2002,Hampton,26,6
2002,Hawaii,27,5
2002,Holy Cross,18,14
2002,Illinois,24,8
2002,IL-CHICAGO,20,13
2002,Indiana,20,11
2002,Kansas,29,3
2002,Kent ST,27,5
2002,Kentucky,20,9
2002,Marquette,26,6
2002,McNeese ST,21,8
2002,MIAMI,24,7
2002,Michigan ST,19,11
2002,OLE MISS,20,10
2002,Mississippi ST,26,7
2002,Missouri,21,11
2002,Montana,16,14
