1998,Kentucky,Southeastern,Southeastern,Kentucky,Lexington,"Smith, Tubby",5,2,3,86,84,80 - 89,80 - 89,Duke,0,Elite Eight,South,29,4,Automatic,Atlantic Coast,Atlantic Coast,N Carolina,Durham,3,1,2,South,St. Petersburg,Florida,Sunday,March 22,1990-1999,1,0
1998,Kentucky,Southeastern,Southeastern,Kentucky,Lexington,"Smith, Tubby",5,2,3,82,67,80 - 89,60 - 69,S CAROLINA ST,0,Round of 64,South,29,4,Automatic,Mid Eastern,Mideastern,S CAROLINA,Orangeburg,0,15,108,South,Atlanta,Georgia,Friday,March 13,1990-1999,1,0
1998,Kentucky,Southeastern,Southeastern,Kentucky,Lexington,"Smith, Tubby",5,2,3,88,61,80 - 89,60 - 69,ST LOUIS,0,Round of 32,South,29,4,Automatic,Atlantic Ten,Conference USA,Missouri,ST LOUIS,0,10,47,South,Atlanta,Georgia,Sunday,March 15,1990-1999,1,0
1998,Kentucky,Southeastern,Southeastern,Kentucky,Lexington,"Smith, Tubby",5,2,3,86,85,80 - 89,80 - 89,Stanford,1,National Semifinals,South,29,4,Automatic,Pacific Twelve,Pacific Ten,California,Palo Alto,10,3,10,Midwest,San Antonio,Texas,Saturday,March 28,1990-1999,1,0
1998,Kentucky,Southeastern,Southeastern,Kentucky,Lexington,"Smith, Tubby",5,2,3,94,68,90 - 99,60 - 69,UCLA,0,Sweet Sixteen,South,29,4,Automatic,Pacific Twelve,Pacific Ten,California,Los Angeles,19,6,13,South,St. Petersburg,Florida,Friday,March 20,1990-1999,1,0
1998,Kentucky,Southeastern,Southeastern,Kentucky,Lexington,"Smith, Tubby",5,2,3,78,69,70 - 79,60 - 69,Utah,0,National Championship,South,29,4,Automatic,Pacific Twelve,Western Athletic,Utah,Salt Lake City,7,3,30,West,San Antonio,Texas,Monday,March 30,1990-1999,1,0
1998,Maryland,Atlantic Coast,Atlantic Coast,Maryland,College Park,"Williams, Gary",20,4,7,67,61,60 - 69,60 - 69,Illinois,0,Round of 32,West,19,10,At Large,Big Ten,Big Ten,Illinois,Champaign,22,5,27,West,Sacramento,California,Saturday,March 14,1990-1999,1,0
1998,Maryland,Atlantic Coast,Atlantic Coast,Maryland,College Park,"Williams, Gary",20,4,7,82,68,80 - 89,60 - 69,Utah St,0,Round of 64,West,19,10,At Large,Western Athletic,Big West,Utah,Logan,0,13,48,West,Sacramento,California,Thursday,March 12,1990-1999,1,0
1998,Michigan,Big Ten,Big Ten,Michigan,Ann Arbor,"Ellerbe, Brian",12,3,11,80,61,80 - 89,60 - 69,Davidson,0,Round of 64,South,24,8,Automatic,SOUTHERN U,Southern,N Carolina,Davidson,0,14,94,South,Atlanta,Georgia,Friday,March 13,1990-1999,1,0
1998,Michigan St,Big Ten,Big Ten,Michigan,East Lansing,"Izzo, Tom",16,4,15,83,71,80 - 89,70 - 79,E Michigan,0,Round of 64,East,20,7,At Large,Mid American,Mid American,Michigan,Ypsilanti,0,13,60,East,Hartford,Connecticut,Thursday,March 12,1990-1999,1,0
1998,Michigan St,Big Ten,Big Ten,Michigan,East Lansing,"Izzo, Tom",16,4,15,63,56,60 - 69,50 - 59,Princeton,0,Round of 32,East,20,7,At Large,Ivy League,Ivy League,New Jersey,Princeton,8,5,21,East,Hartford,Connecticut,Saturday,March 14,1990-1999,1,0
1998,New Mexico,Mountain West,Western Athletic,New Mexico,Albuquerque,"Bliss, Dave",18,4,14,79,62,70 - 79,60 - 69,Butler,0,Round of 64,South,23,7,At Large,Horizon League,Horizon League,Indiana,Indianapolis,0,13,50,South,Lexington,Kentucky,Friday,March 13,1990-1999,1,0
1998,N Carolina,Atlantic Coast,Atlantic Coast,N Carolina,Chapel Hill,"Guthridge, Bill",1,1,1,93,83,90 - 99,80 - 89,Charlotte,1,Round of 32,East,30,3,Automatic,Atlantic Ten,Conference USA,N Carolina,Charlotte,0,8,31,East,Hartford,Connecticut,Saturday,March 14,1990-1999,1,0
