assists_per_game,assists_per_game_allowed,blocks_per_game,blocks_per_game_against,field_goal_percentage,field_goal_percentage_allowed,free_throw_percentage,free_throw_percentage_allowed,losses,offensive_rebounds_per_game,offensive_rebounds_per_game_allowed,pf_per_game,pf_per_game_allowed,ppg,ppg_allowed,rebounds_per_game,rebounds_per_game_allowed,steals_per_game,steals_per_game_allowed,three_point_percentage,three_point_percentage_allowed,turnovers_per_game,turnovers_per_game_against,wins,won_tournament
18.6,14.2,5.5,3.8,46,40.1,65,65.2,9,15.3,11.8,21.3,18.3,78.7,70.1,44.2,36.1,9.1,8.6,34.3,34.7,17.3,18.3,23,0
12.9,10.7,5.6,2,42.3,39,68.8,64.6,9,12.6,10.8,16.2,19.5,69.1,62.8,39.5,34.7,6.1,6.9,29.2,32.6,15.2,14.5,22,0
15.3,12.4,3.4,2.7,45.4,39.6,71.9,69.1,6,9.4,10.7,18.1,19.8,73.5,64.1,35.4,34.2,10.1,7.5,39,33.1,16,18.3,24,0
14.5,12.7,3.4,2.7,43,40.9,61.5,68,8,13.4,11.4,19.9,20,71.7,67.7,40.2,37.4,8,7.5,33.3,28.6,16.1,16.9,25,0
12.8,13.7,2.8,3,39,42.1,68.6,66.2,15,11.1,10.2,17.1,16.9,62.9,65.2,36.4,36.7,7.3,8.7,33.6,32.6,15.6,14.5,15,0
16.7,12.6,4.5,3.2,46.6,42.4,70.4,68,11,11.3,11.9,18.5,17.9,73.2,66.2,33.9,35.6,9.2,6.8,32.9,33.5,15.8,19.1,19,0
14.8,11.9,5.4,2,48.7,38.2,64.3,63.5,5,11.6,10.7,16.2,21.8,75.8,62.7,40.5,32.5,9.2,7.8,35.1,31.4,17.5,16.5,26,0
19,14,6.6,4,46.5,40.3,68.5,68.1,9,11.9,12.4,18.3,18.5,76.7,68.2,38.6,36.8,10.1,8.4,35.3,33.1,16.2,18.4,24,0
14.6,12,3.6,3.2,43.1,39.4,74.8,68,10,12.5,11.6,18.1,18.6,69,62.6,37.8,35.7,8.4,6.8,29.9,29.8,14.8,18.1,21,0
15.4,11.1,2.7,2.6,47.4,39.4,73.5,68.4,7,12.1,7.6,18.5,18.9,74.1,58.9,38.9,27.3,6.6,5.6,37.8,30.2,14.6,13.6,26,1
13.7,14.1,2,3.5,42.3,45,71,68.8,12,9.5,10.7,19.5,19.5,74.3,69.9,33.6,38.5,8.8,5.5,36.2,33,13.3,17.7,18,0
15.6,12.4,3.2,2,47.3,42,73.9,68.8,10,8.2,10.4,18.5,18.5,72.1,69.1,35,33.1,3.9,7.9,39,31,16.8,11.8,20,0
16.9,14.3,4.9,3.2,49.1,40.8,70,69.1,13,10.8,12.6,16.1,18.4,75.4,70.2,38.6,34.6,5.8,8.3,34.4,30.8,14.9,11.6,18,0
12.9,11.8,6.7,2.6,45.6,37.8,70.4,66.2,6,11.3,10.5,17.3,18.9,72.7,61.7,37.6,34.5,6.5,5.2,31.8,35.6,12.7,15.2,22,0
15.4,11.2,2.6,2.5,45.8,40.6,71,70.2,6,11.3,9.1,18.9,17.9,74.9,62.3,37,32.9,7.1,6.1,38.3,30.3,12.8,15.8,26,0
18.7,12.1,3.5,2.9,48,39,70,60.8,6,10.6,11,17,19.4,77.1,62.3,38.5,34.2,7.5,6.2,38.6,29.5,14.5,16.6,24,0
16.4,11.9,2.9,3.9,46.8,42.9,74.5,65.6,7,9.7,10.5,19.7,18.7,75.6,68.2,34.9,32.9,6.9,6.5,31.2,34.8,15.6,17.1,22,0
15,12.3,4.1,2.1,45.2,40.3,64.4,66.7,7,9.1,9.2,16.4,18,67,60.1,36.2,32.6,5.4,6.3,35.2,34.8,12.7,12.9,21,0
14.5,12.6,2.8,2.8,44.4,40.3,66.9,65.9,8,10.9,10.3,19.4,16.8,73,63.2,38.1,36.7,9.3,5.2,34.4,30.5,14.8,18.6,24,0
14.2,13.3,3.1,3.3,44.4,44.8,68.4,63.4,9,12.1,9.9,17.6,22.2,73.7,66.1,36,33.4,7.7,6.4,35,30.5,14.9,16.6,21,0
10.5,12.4,3.9,3.8,39.2,42.7,67.6,64.9,13,15.1,11.1,20.2,18.8,70.2,71.2,40.9,37.1,6.9,6.2,33.3,37.6,14.1,13,20,0
16.9,11.2,3.2,2.1,50,42.2,69.9,69,10,7.2,8.7,16.5,17,72.6,62.4,31.1,30.4,7.2,7.2,38.9,33.6,13.6,14.6,21,0
12.4,10,5.1,2.2,44.5,38,70.2,71.8,6,9.5,10.5,17.5,19.8,69.4,61.5,36.4,35.9,6.1,6.6,34.6,29.9,15.4,14.8,22,0
14.3,14,6.2,3.9,43.3,39.8,67.9,66.5,9,11.8,13.5,17.2,17.5,71.7,66.2,37.7,39.3,7,6.8,36.5,32,14.8,14.4,20,0
12.3,11.9,2.7,2.5,44.7,41.2,66.1,68.6,9,12.3,11.1,18,19,68.9,64.7,36.6,33.7,8.3,7.6,34.6,36.1,15.8,16.4,21,0
16.4,15.4,2.7,4.2,46.4,44.2,67.7,68.3,7,11.4,10.3,16.2,17.3,73.7,66.4,34.2,34.4,10.7,6.2,31.4,35.4,12.1,17.9,24,0
12.2,11.9,3.8,3.5,43.2,41.6,68.6,64.3,13,10.1,10.7,20.1,19.8,64.4,63.8,35.2,34.1,7.7,8.6,33.8,36.6,17.8,16.5,19,0
17.2,12.1,5.3,3.4,46.8,35.2,70.8,70.5,3,11.4,10.2,16.5,22.4,78.9,59.7,42.2,32.5,4.6,6.5,40,29.8,14.6,13.7,26,0
17.6,15.8,5.2,3,46.9,40.6,70.5,66.9,5,12.2,11.1,15.8,17.8,75,63.5,37.5,33.6,8.9,6.9,35.5,32.6,14,15.7,24,0
14.1,13.1,4.1,2.6,41.4,36.2,65.3,66.8,5,12.9,10.1,13.7,16,68.5,54.8,38.5,34.2,9.5,4.2,34.5,32.5,9.6,14.1,26,0
14.5,12.2,5.6,3.1,45,40.5,68.2,66.8,6,13.1,11.8,18.7,20,79.7,67.8,39.7,36.9,8.8,7.5,36.1,31.9,15.8,17.9,24,0
14.7,11.7,4.9,2.8,47,38.6,64.6,68.5,8,11.3,11.2,18,21.1,74.5,63.7,39.1,35.1,7.6,8,37.8,31.7,15.6,15.9,23,0
17.2,11.3,4.7,2.7,47.2,39.3,70.5,66.4,4,11.4,11.3,19.7,19.5,80.4,62.9,37.8,36.4,11.7,7.8,34.6,32.8,15.4,20.4,29,0
16.5,14.2,4.4,2.8,48,42.6,58.7,68.3,11,12.2,10.8,18.9,17.5,75.5,70.3,37.8,34.1,8.5,6.9,37.1,33.2,16.6,16.2,19,0
12.1,10.3,2.2,3.2,41.5,38.6,62.9,66.8,12,9.3,9.8,18.4,17.7,60.1,57.5,35,34.8,7.1,5.6,37.2,28.7,13.4,14.5,18,0
20.1,15.4,4.5,3.3,45.5,42.9,68.1,66.4,7,13,10.9,20,20.7,82.2,75,41.7,37.8,8.5,7.4,31.6,32.1,15.8,17.5,23,0
15.5,11.8,2.8,2.3,48.2,42.8,71.9,66.3,8,8.8,7.8,18.3,18.8,70.4,61.8,33.8,28.9,6.2,7,38.7,36.3,14.4,13.4,22,0
14.3,12,3.7,2.2,46.6,40.3,62.8,68.1,5,10.9,9.6,17.1,17.9,70.5,61.2,36.6,33.2,7,6.6,36.2,35.3,13.2,15.2,28,0
14.2,12,3.8,1.8,44.5,41.2,65.1,69,12,11.3,8.6,17.3,17.6,66.5,62.7,36.4,31,7.4,8.6,36.8,34.9,16.8,14.5,19,0
13.2,11.6,3.3,3.6,42.2,39.6,66.7,69.3,8,11.5,9.3,19.4,19.2,72.3,64.4,39.2,35.8,7.2,6.6,35.7,30.1,15.5,16,21,0
13.3,10,2.8,2.6,42.7,39.7,68.1,69.3,13,7,7.6,18.3,17.4,59.9,55.8,31.1,32.7,6.6,5.2,34.4,34.3,11.2,14.2,18,0
13.4,10.2,2.8,3,43.8,38.3,65.4,68.3,8,10,12.3,16.5,18.6,68.2,63.7,38.2,37.3,8.2,8.4,32.8,29.8,16.9,15.3,22,0
16.3,13.1,4.4,2.9,47.6,39.7,74.8,67.6,7,12.3,10.6,17.5,22.6,81.3,66.3,39.8,32.9,7.9,6.4,35.5,30.5,15,15.8,23,0
15.3,12,4,3.4,44.3,40.4,69,66.5,10,11.4,14.5,21.2,19.3,79.9,68.8,36.5,42.6,11.7,6.2,36.8,30.5,14.5,21.6,20,0
14.3,11.8,3,4.1,45.4,43.8,70.9,63.3,4,13.5,11.8,20.4,20.8,79.6,66.5,36.8,35.3,10.2,6.3,35.3,33.5,13.2,19.1,26,0
12.2,11.7,2.8,3,46,43.8,71.6,70.3,7,8.1,9.8,15.8,19.3,69.6,60.8,29.6,32.3,6.9,4.6,40.7,35,11.8,16,23,0
12.5,10.6,3.2,3,45.9,41.4,78,70.3,8,7.7,8.8,20.9,21.5,70.4,62.7,31.8,31.5,6.2,5.8,38.1,32.3,13.7,15,23,0
16.5,15.5,2.1,3.5,47.9,43.6,68.6,71.3,10,8.1,8.3,18.4,20.2,74.3,68.6,32.2,33.1,7.3,5.7,35,37.8,13.7,16.1,20,0
12.9,11.7,3.5,3.9,44.4,43,69.7,63.9,9,11.9,11,19,19.3,73.9,65.5,34.7,35.5,5.5,4.3,35.6,34.1,10.8,15.5,23,0
15.3,11.3,3.6,2.5,44.2,42.8,70.2,70.5,7,10,8,20.2,20.6,72.7,63.3,33.9,32.8,9,6.1,35.9,34.1,13.3,17.8,24,0
18.6,16.2,2.3,2.4,48.8,44.9,70.8,71,9,9.2,11.1,22.4,22.1,82.7,75.6,35.5,35.9,8.5,7,39.4,32.9,14.9,17.5,22,0
18,13.3,5.1,3.1,48.1,41.6,69.6,69.5,4,12.4,12.7,16.9,21.6,90.7,70.5,38.5,37.5,10.5,7.3,38.5,34.4,13.6,19.1,29,1
16.3,15.5,3.7,4.5,47.2,45.3,77.7,69.7,9,10,11.5,18.5,19,82.4,77.4,36.6,36.8,6.5,7.3,39,33.7,14,14.6,21,0
17.4,13.5,3.6,2.8,48.1,42,72.9,63.6,6,8.5,9.5,19,20.6,80.9,67.1,37,34.6,8.7,6.6,38.3,30.1,14.5,16.4,23,0
18,13.2,6.4,2.1,47,41.6,68.1,66.8,6,10.5,12.3,19,20.4,81.5,71,37.5,39.1,10,7.2,33.6,32,16.6,19.6,25,0
13.7,11.6,4.3,3.3,45.7,43.5,65.9,71.1,11,10.6,9.7,18.2,18.7,70.9,65.4,33.9,33.7,8.3,6.4,32.3,35.8,14.2,17.3,18,0
16.6,14.4,6,4.6,43.7,38.8,66.1,68.2,7,16.2,11.4,21,19.9,78,67.5,44.9,35.6,9.8,8.8,33.2,34.3,16.7,17.7,23,0
15,12.8,4.8,4.1,46.4,43.4,67.2,68.3,14,10.7,9.6,18.1,18.6,72.8,72.8,38.5,33.7,6.3,8.6,34.5,34.8,15.6,13.2,16,0
13.2,13.4,3.8,2.8,44.9,45.6,70.2,66.4,4,11.4,10.5,18.1,19.8,79.4,68.7,34.5,34.7,10.3,5.9,35.4,31.4,12.8,18.1,28,0
16.3,14.7,4.5,3.6,42.6,40.7,69,68.5,12,9.7,11.6,21.5,20.1,75.6,72.9,37.7,39.9,7.8,6.7,37.1,31.7,15.7,16.1,17,0
16.2,12.7,4,2.3,51,39.5,68.8,72.9,6,9.7,10.2,18.7,22.9,82.4,68.8,38.5,33.3,5.8,6.3,40.4,34.6,14.4,13.3,24,0
13.9,12.8,5.8,2.4,46,41.5,68.4,63.4,6,12,12.6,18.5,21.5,77.1,70.2,40.2,37.7,6.8,6.9,34.7,34.3,15.2,15,24,0
17.8,13.4,2.5,2.9,46.8,45.6,72.7,71,14,9.6,10,19.4,20.2,72.4,72.2,32.3,32.6,6,7.5,34.5,36.7,16.5,15.1,17,0
13.2,12.9,4,2.4,47.1,40.2,64.7,65.2,4,10.7,8.8,17.7,23.1,72.6,62.6,37.6,32.1,7.7,7.4,33.1,30.1,16.6,17.3,26,0
12.8,12.4,5.2,3.8,44.5,38.2,65.7,69.9,7,11.6,9.1,19.4,25.6,67.8,62.3,38.6,30.6,6.2,7.9,35,35.1,16.9,14.2,22,0
15.8,11.5,4.2,3.4,45.7,38.6,70.4,69,7,12.1,9.7,22,21.9,78.1,66.3,39.7,33.1,7.7,6.2,36.9,32.6,15.1,15.9,24,0
15.2,11.3,5.2,3.2,45,39.5,63.4,71.2,12,10,9.2,18.9,20.6,70.4,63.9,37.2,35.3,6.6,7.5,35.6,33,14.4,14.9,21,0
15.3,13.2,2.9,2.9,46,46.2,70.5,72.2,11,8.8,9.1,16.8,19.9,72.9,67.8,31.2,34.5,6.9,5.1,35.8,36.2,11.8,14.9,21,0
14.6,13.1,5.5,2.9,48.1,41.7,68.9,67.1,10,9.7,10.7,21.7,21.4,77.2,72,37.5,35.5,7.8,8,38.3,32.8,16.9,16.5,22,0
13.5,14.2,2.4,4.1,43,43.5,70.5,69,11,12.1,8.8,22.3,24.2,74.1,70.5,38.6,31.9,5.5,6.4,36.6,33.9,14.9,13.9,22,0
13.8,10.5,3.3,4.5,47.4,41.7,72.8,69.1,5,11.1,8.4,20.5,22.4,79.1,68.2,39.6,30.8,6.1,6.5,41.7,33.8,15,14.3,25,0
19.3,13.2,5.1,2.7,50.2,37.8,65.9,68,6,12.2,11.9,19.6,21.2,82,69.3,42.6,35,6.6,8.5,39.4,33.4,16.1,15,24,0
15.7,12.8,4.5,2.5,47.9,40.8,65.5,68.3,9,12.2,12.4,18.6,19.1,79.5,71.3,38.6,35.7,6.4,6.7,34.7,35.5,15,15.5,22,0
19.2,12.3,5.9,4,48.4,40.4,69.6,70.8,10,13.5,12.2,19.8,20.4,85.2,72.4,41.1,36,8.9,7.3,38,34.3,14.5,16.6,21,0
17.4,12.8,4.1,2.7,49,39.5,71.4,70.2,4,13.8,8.5,18.4,18.4,76.8,61.8,42.3,27.2,6.2,5.7,31.6,33,13.4,12.8,24,0
12.7,13.7,3.9,3.1,42,43.2,70.1,68.2,12,12.9,12.3,20.5,20.3,75.5,72.8,38.2,38.9,7.8,6.7,38,32.1,15,15.4,19,0
14.1,14.5,3.4,3.3,45.4,40.9,68.9,67.6,9,8.5,10.5,16.7,20.7,70.3,65.3,34,36,9,7,35.3,35.2,15.1,18.3,21,0
17.5,13.9,5.5,3.2,47.9,39.1,67,65.7,6,11.3,12.4,17.5,20.2,79.1,70.9,41.2,37,7.4,9,36.4,32.4,15.7,13.5,25,0
12.2,13.5,4.2,3.3,41.5,43.6,66.8,68.4,12,11.1,11.7,23.7,22.6,71.6,74.9,36.3,39.5,9.4,7.5,32.5,37.6,16.8,18.2,18,0
17.6,14.4,5.9,3.3,46.2,39.3,68.9,66.2,9,10.9,13,16.7,20.7,77.9,69.3,40.4,38.2,6.6,6.9,38.4,31.4,14.5,13.5,19,0
15.3,12.4,5.2,3.7,47.1,40.3,70.1,68.5,10,10.2,9.6,19.5,20.9,71.2,63.6,35.2,30.8,5.2,6.1,38.1,36.6,15.9,15.2,20,0
13.4,11.4,2.8,2.8,44.6,43.1,74,65,6,11.2,9.3,21.4,19,74.4,64.3,35.9,33.2,8.5,5.7,38.1,33.9,12.7,17.1,26,0
13.6,11.9,3.8,3.1,46.4,40.2,63.3,66.9,8,10.6,10.5,18.9,20.6,71,64.5,38,34.6,8,7.2,32.7,33.7,16.8,16.9,19,0
14.3,10.2,3.3,3.8,44.2,42,65.6,66.8,7,10.5,9.9,20.5,21,71.3,64.6,35.1,35.2,8.1,6.4,34.2,29.6,14.3,17,25,0
14.6,15.4,3.5,4,42.6,46.7,76.4,66.8,11,9.1,11.8,19.8,20.7,76.8,74.9,32.4,40.1,8.4,6.3,36.7,32.7,12.3,15.8,19,0
14.2,11.9,2.3,2.3,44.9,42.7,72.7,70.9,10,5.1,8.7,16.9,15.5,57.9,58.1,25.6,29.9,6.7,6.4,35.2,34.9,12.5,12.8,16,0
16.3,11.8,5.5,3.2,44.6,40,71.9,67.3,9,11.4,11.7,20.7,20.5,76.1,66.1,36.4,36.4,9.2,8.1,40,29.8,15.1,17.7,21,0
14.9,14.5,2.6,2.4,48.6,42.4,71.7,68.5,5,9.6,10.5,20.2,19.2,72.2,65.2,32,31,10.3,6.4,40,33.3,15.3,17.7,25,0
17.7,13.7,3.8,3.2,48.2,41.4,69.4,69.9,6,9.8,10.9,19.8,20.3,79.5,71.3,37.8,34.4,6.2,7.5,35.6,31.2,14.7,13.8,25,0
16.6,12.1,3.1,2.7,51.1,42.7,74.3,66.1,2,9.3,8.4,17.1,22.7,83.2,65.5,36.6,29.4,5.5,5.8,42.9,32.9,12.9,14.4,28,0
16,15.1,6,3.1,43.6,40.9,71.5,65.5,8,11.1,12.6,20,18.9,72.8,67.5,35.7,38.4,9.6,6.1,33.5,32.2,12.9,16.9,24,0
11.2,15.7,3.8,3.1,42.7,40.1,70,68.8,12,12.1,11.1,15.7,16.4,70.4,63.9,35.6,35.6,7.3,3.3,34.5,35.1,8.2,12.5,21,0
16,13.9,5.8,3.5,45.9,41.5,68,67.7,10,11.2,12.3,21.6,21.8,80.8,75.6,39.4,39.2,7,7.8,36.9,33.9,15.9,15.5,22,0
12.2,10.6,5.3,2.8,41.2,38.9,65,65,8,12.7,11.9,22.7,21.6,70.5,65,39.8,39.1,7.9,7.5,34.3,29.5,14.7,15.9,25,0
14.5,14.6,4,2.8,46.3,43.7,66.3,68.8,8,12.1,10.5,20.9,21.7,79.5,74.4,38,35.5,7.8,6.4,35.5,31.4,16.3,17.3,21,0
13.3,12,3.8,3.8,44.1,42.8,76.8,68.9,11,8.9,11.3,20.8,19.9,73.5,71.3,34.1,37.2,8.8,7.5,37.9,38,15.2,16.7,19,0
14.8,13.4,4.4,2.1,45.9,42.8,70.3,68.8,9,11,9.9,18,21.1,77.1,71.2,36.8,34.4,7.6,6.9,34.8,35.8,15,15.4,21,0
15,10.4,4,2.3,48.3,39.6,67.4,67.4,5,10.1,9.1,17,19.3,70.5,57.5,34.6,30.9,6.6,6.1,38.8,30.7,14.3,15.6,27,0
14.5,14.7,3.3,4.2,45.5,46.5,73.6,68.2,8,13.3,9.3,20.4,22.3,85,74.8,39,33.3,7.6,5.4,36.9,34.7,13.8,17.1,20,0
14.6,11.4,5.2,2.4,45.4,40.7,69.1,65.9,6,13.1,8,18.9,19.6,74.3,60.9,41.6,30.5,8,5.8,35.2,31.4,14.5,16,24,0
15.5,12,4.5,3.6,46.2,40.9,72.7,67.2,10,10,10.5,19,18.3,76.5,66.5,36.8,35.8,7.3,5.8,35.8,31.2,12.4,15.3,19,0
11.3,11.5,2.5,4.1,41.1,42.3,68.9,67.8,12,10.9,8.2,19.4,18.9,65.7,61.8,35.2,32.5,7.2,6.4,35,32.5,14.2,15.1,18,0
12.3,9.9,2.3,3.1,42.6,41.1,70.2,70.8,10,6.9,6.7,17.9,19.2,59.4,56.6,29.9,29.6,5.9,4.8,36.6,32.6,11.6,12.6,18,0
13.7,13.3,4,4,42.7,40.6,70.3,63.4,7,11.8,11,19,22.6,73.4,65.9,38.8,35.6,7.2,6.2,30.3,29.7,14.2,15.3,21,0
13.1,11.1,3.1,2.8,43.9,40.8,73.6,68.2,7,12.7,11.7,18.7,21.7,75.9,66.7,39.1,34.9,7.3,6.1,30.9,31.8,14.7,15.3,26,0
15.7,15.7,4.3,3.1,45.8,43.8,64.5,70.9,9,13.3,10.9,18.8,20.6,79.4,76.8,40.4,35.7,8.3,8.1,37,33.7,17.3,16.7,21,0
15.6,16.1,3.1,3.4,46.6,43.7,73.1,70.2,9,10.8,12.1,17.9,22.6,82.1,77.6,38,37.1,6.3,6.1,37.6,34.7,14.1,13.6,22,0
13.4,12.8,3.3,3.8,41.9,42.5,69.6,65.8,11,12.1,12.4,20.5,20.8,73.6,70.5,37.4,37.9,8.1,7.4,33.7,33,14,16.1,20,0
12.5,11.8,2.6,3.9,42.3,39,68.8,68.2,9,10.8,10.7,18.8,18,67.1,64,37.5,34.8,6,6.8,35.8,33.1,12.9,13,22,0
13.1,12.6,3.2,3.2,45.3,41.4,73.6,62.1,4,11.6,9.7,15.9,19.3,71.5,63.2,39.5,32.4,6.8,7.2,35,31,14.9,14.7,27,0
15.5,13.6,4.1,2.8,45.2,41.8,67.8,66.6,8,10,10.7,19.2,19.2,72.1,66.6,33.8,35.6,7.9,5.1,31.4,34.4,13.2,17.2,22,0
14,13,2.4,2.5,44,41.6,70.9,69.1,11,11.2,10.3,17.9,18.4,73.5,68.6,37.7,34.4,6.9,5.8,36.5,34.4,13.6,13.4,18,0
13.5,9.9,4.3,2.7,46.7,37.4,70.9,68.3,3,12,10.1,17.8,21.1,78.2,60.4,39.5,33.8,4.8,4.6,36.2,29.7,12,14.8,30,0
14.5,13.6,6.9,4.1,48.3,38,69.6,71.2,6,11.7,12.7,18,18.9,77.8,69.2,40.1,35.8,7.5,6.5,39.5,32.3,15.8,14.6,24,0
15.2,12.8,3.9,2.3,46.4,43.5,73,73.3,8,10.7,8.7,18.7,18.8,75.7,68.7,35.9,31.9,8.2,7.2,37.2,38.8,14.2,15.9,22,0
15.6,10.8,3.6,2.5,43.6,38,68.2,73.3,9,10.6,10.7,18.2,18.9,70.7,66,38.4,36.5,6.7,7.7,35.3,32.5,15.6,14.2,21,0
17.9,12.6,3.2,2.9,49.5,42.1,69,68.9,3,10.9,11.5,18.7,21.2,88.9,69.2,37.1,36.2,10,7.1,36.3,30.3,14.2,19.7,29,0
15.6,14.4,3.5,4.6,42.7,43.9,66.6,68.9,11,14.1,11.5,19.6,18.5,74.3,72.1,39.4,37.9,9.5,7.9,33.8,34.2,15.3,18.5,19,0
16.7,14,4.5,2.9,46.9,40.7,69.7,68.4,8,12.4,10.2,18.5,19.4,80.5,66.6,38.9,34.4,9.9,7.3,35.3,33.3,14.9,18.1,22,0
15.5,14.9,3.5,3.8,44.7,42.9,73.7,66.3,9,12.1,11.1,16.9,19.1,76.4,71,38.4,36.3,8.8,7.4,32.1,30.9,14.2,14.8,21,0
15.8,11.8,3.5,3,47,38.5,73.2,68.6,3,11.8,9.5,16.9,21.2,81.1,66.5,41.6,32.5,5.7,5.7,39.1,33.2,13.9,13.3,29,0
14.3,13.3,3.4,2.6,47.9,43.1,67.3,67.3,6,12,11.4,18.2,20.8,79.9,70.8,37.6,34.7,8.1,6.8,35.3,30.1,14.6,15.2,26,0
16.5,10.9,3.5,2.8,45,40.8,68.4,65.9,5,8.6,11.2,18.3,19.7,71.7,63.1,33.3,34.7,7,5.2,38,33,12.3,14.9,27,0
13.3,13.4,3.1,3.7,40.6,42,69.2,65.6,14,11.3,7.4,18.3,20.4,63.1,59.6,35.7,29.9,7.8,6.8,33.8,38.4,14.2,15,18,0
13.2,13.5,1.4,4,43.6,44.9,65.9,69.7,13,10.6,10.3,20.8,21.7,73,71.1,34.3,36.5,5.6,5.9,40.6,33,12.6,14.6,20,0
16.9,12.8,4,2.9,47,41.6,74,66.3,8,9.8,9.9,19.7,21,77.4,67.7,36.1,32.3,7.4,5.6,36.7,34,14.6,15.3,24,0
14.7,11.1,5,3.7,46,40.8,69.6,66.2,11,9.6,10.1,17,18.9,70.5,62.6,35.1,33.4,6.9,7.1,41,35.9,13.6,14,20,0
20.7,14.4,5.5,4.4,50.6,40.2,71.9,68.6,3,13.9,11.9,18.1,19.6,90.9,74.7,44.2,35.5,9.5,8.6,41.7,36.1,16.3,16.8,29,0
13.4,11.3,2,2.3,46.9,41.8,72.8,69.3,5,11.8,8.9,19,18.7,75.9,64,36.7,31.7,6.3,4.8,36.5,32.6,10.9,13.6,27,0
14.7,12.8,4.8,3.1,44.8,41.2,67.6,67.4,9,13.7,10.9,18.2,18.3,76.9,68.2,40.1,34.4,7.8,7,31.6,33.7,14.3,16.6,20,0
13.9,12.7,3.4,3.2,47.2,40.1,69.4,65.7,6,11.6,10.1,18.1,19.5,73,60.8,35.8,30.9,8.2,6.2,37.9,32.1,13.7,16.7,26,0
19.8,13.6,6,3.5,48.2,39.9,72.6,68.1,4,11.6,12,17.8,20.5,85,70.9,41,37.3,8.4,7,37.4,31.7,13.7,15.3,26,1
12.9,11,5.1,3.1,44,40.7,65.3,62.2,8,11.1,9.9,19.2,18.8,70.1,63.6,37.4,34,9.1,7.6,36.7,32.8,16,16.1,21,0
16.2,12.5,5.9,3.8,43,40,77.1,67.5,7,10.4,11.8,18.4,18.9,74.8,67.4,36.7,38.5,8.8,7.4,34.5,30.9,14.4,17.2,24,0
14.1,12.5,3,3.4,46.2,39.5,77,72.2,11,10.4,9,18.7,17.7,69.4,63.8,37.5,29.6,5,7.2,39.3,29.8,14.8,11.3,19,0
16.2,11.4,3.6,2.7,48,41.2,65.3,68.8,7,11.5,10.3,17.6,19.8,73.8,66.7,38.6,32.5,8.4,7.9,34.8,30.1,16.7,16.4,26,0
15,14.5,4.3,3.1,45.8,44.7,68.9,66.9,11,13.3,10.4,19.1,19,79.9,72.5,39,34.4,7.3,7.2,39.1,36.4,14.2,14.3,21,0
14.6,14.8,3.8,3.1,45.5,43.7,67.3,68.1,14,8.7,10.9,20.8,20.5,71.5,73,33.8,35.7,5.4,6.5,35.7,37.3,15,13.9,16,0
14.5,14.7,4.9,2.9,45,44.6,72.3,69.6,12,14.4,9.7,19.2,16.6,78.6,73.4,40,34.3,8.1,7.6,32.2,33.5,14.3,15.8,19,0
16.1,12.9,2.1,3.3,45.2,44.2,75.5,73.7,10,9.1,8.8,18.8,19.7,75.4,67.8,32.9,33.1,7.8,6.8,36,31.4,13.2,16.2,22,0
19.1,14.2,4.9,3.6,45.9,39.7,70.9,66.6,10,11.5,11.6,16.4,18.3,78.8,68.4,40.8,37.6,7.8,7.2,37.9,33.3,13.2,13.9,21,0
15.1,12.7,2.3,3.4,48.4,43.7,67.5,70.1,7,9.5,8.7,18.8,21,73.8,64.9,32.7,29.6,6,5,37.6,32.1,13.3,15,23,0
14.4,12.2,3.7,3.6,44.3,40.6,76.7,68.6,4,13.4,9.6,19.9,18.6,78,64.6,39.9,34,9,5.8,35,29.9,11.9,16.2,27,0
14.3,11.9,3.4,3.8,44.8,40.7,62.6,68.2,8,13.3,11.3,18.1,19.6,71.7,64.1,39.9,33.6,7.8,6.8,32.7,30.7,15.1,15.7,23,0
13.8,11.7,1.9,3.7,45.7,43.2,73.6,68.1,10,9.4,8.4,19.7,20.6,71.9,64.5,33.3,30.9,7.2,7.3,37.9,31.6,15.3,15.7,20,0
16.6,12.3,3.3,2.5,48.7,42.9,76.9,68,8,9.8,11.1,18,19.7,85.5,72.5,36.4,34.2,7.4,6.8,42.2,33.8,13.7,15.3,23,0
17.5,12.6,3.4,2.6,47.9,41,73.2,71.9,6,7.3,9.1,17.7,19.1,73.2,63.7,32.3,33.7,6.5,6.9,39.9,33.6,13.1,14.3,25,0
14.4,14.1,5,2.5,45.5,41.2,71.4,72.1,8,11.4,11.8,20.7,19.2,81.3,74.8,37.8,39.4,7.2,5.5,36.7,36.7,14.4,17.4,22,0
16.9,12,4.5,3.5,47,39.5,60.6,69.5,5,11.7,9.2,17.4,19.7,72.3,60.9,38.5,32,6.7,5.3,32.3,28.8,14.1,14.7,27,0
15.2,10.8,4.8,2.8,46.1,40.3,61.9,69.9,7,12.1,10.4,20.7,21.3,75.5,67.4,38.8,35.7,7.3,6.6,36.5,35.9,13.7,15.3,26,0
14.3,13.6,3.7,3.4,47.6,42.9,66,67.5,11,10.7,10,20.9,20,74.4,70.9,36.9,33.6,6.8,8,35.9,33.2,15.3,15.1,21,0
12.9,13.2,4.1,3.9,41.7,39.4,74.4,69.6,18,9.5,10.3,21.2,20.4,69.9,68.9,38,37.6,5.6,7.3,34.6,33.6,15.2,14.8,16,0
11.5,13.3,3.8,4.2,40.1,42.2,67,72.1,11,13.8,10.5,20.2,20.1,70.3,68.8,37.6,37.6,10.1,7.2,28.7,33.1,15.1,18.5,20,0
