@relation tournament_winnersStripped

@attribute assists_per_game numeric
@attribute blocks_per_game numeric
@attribute field_goal_percentage numeric
@attribute field_goal_percentage_allowed numeric
@attribute losses numeric
@attribute offensive_rebounds_per_game numeric
@attribute pf_per_game numeric
@attribute ppg numeric
@attribute rebounds_per_game numeric
@attribute rebounds_per_game_allowed numeric
@attribute steals_per_game_allowed numeric
@attribute three_point_percentage numeric
@attribute three_point_percentage_allowed numeric
@attribute turnovers_per_game numeric
@attribute wins numeric
@attribute won_tournament {0,1}

@data
17.4,4.1,49,39.5,4,13.8,18.4,76.8,42.3,27.2,5.7,31.6,33,13.4,24,0
12.7,3.9,42,43.2,12,12.9,20.5,75.5,38.2,38.9,6.7,38,32.1,15,19,0
14.1,3.4,45.4,40.9,9,8.5,16.7,70.3,34,36,7,35.3,35.2,15.1,21,0
17.5,5.5,47.9,39.1,6,11.3,17.5,79.1,41.2,37,9,36.4,32.4,15.7,25,0
12.2,4.2,41.5,43.6,12,11.1,23.7,71.6,36.3,39.5,7.5,32.5,37.6,16.8,18,0
17.6,5.9,46.2,39.3,9,10.9,16.7,77.9,40.4,38.2,6.9,38.4,31.4,14.5,19,0
15.3,5.2,47.1,40.3,10,10.2,19.5,71.2,35.2,30.8,6.1,38.1,36.6,15.9,20,0
13.4,2.8,44.6,43.1,6,11.2,21.4,74.4,35.9,33.2,5.7,38.1,33.9,12.7,26,0
13.6,3.8,46.4,40.2,8,10.6,18.9,71,38,34.6,7.2,32.7,33.7,16.8,19,0
14.3,3.3,44.2,42,7,10.5,20.5,71.3,35.1,35.2,6.4,34.2,29.6,14.3,25,0
14.6,3.5,42.6,46.7,11,9.1,19.8,76.8,32.4,40.1,6.3,36.7,32.7,12.3,19,0
14.2,2.3,44.9,42.7,10,5.1,16.9,57.9,25.6,29.9,6.4,35.2,34.9,12.5,16,0
16.3,5.5,44.6,40,9,11.4,20.7,76.1,36.4,36.4,8.1,40,29.8,15.1,21,0
14.9,2.6,48.6,42.4,5,9.6,20.2,72.2,32,31,6.4,40,33.3,15.3,25,0
17.7,3.8,48.2,41.4,6,9.8,19.8,79.5,37.8,34.4,7.5,35.6,31.2,14.7,25,0
16.6,3.1,51.1,42.7,2,9.3,17.1,83.2,36.6,29.4,5.8,42.9,32.9,12.9,28,0
16,6,43.6,40.9,8,11.1,20,72.8,35.7,38.4,6.1,33.5,32.2,12.9,24,0
11.2,3.8,42.7,40.1,12,12.1,15.7,70.4,35.6,35.6,3.3,34.5,35.1,8.2,21,0
16,5.8,45.9,41.5,10,11.2,21.6,80.8,39.4,39.2,7.8,36.9,33.9,15.9,22,0
12.2,5.3,41.2,38.9,8,12.7,22.7,70.5,39.8,39.1,7.5,34.3,29.5,14.7,25,0
14.5,4,46.3,43.7,8,12.1,20.9,79.5,38,35.5,6.4,35.5,31.4,16.3,21,0
13.3,3.8,44.1,42.8,11,8.9,20.8,73.5,34.1,37.2,7.5,37.9,38,15.2,19,0
14.8,4.4,45.9,42.8,9,11,18,77.1,36.8,34.4,6.9,34.8,35.8,15,21,0
15,4,48.3,39.6,5,10.1,17,70.5,34.6,30.9,6.1,38.8,30.7,14.3,27,0
14.5,3.3,45.5,46.5,8,13.3,20.4,85,39,33.3,5.4,36.9,34.7,13.8,20,0
14.6,5.2,45.4,40.7,6,13.1,18.9,74.3,41.6,30.5,5.8,35.2,31.4,14.5,24,0
15.5,4.5,46.2,40.9,10,10,19,76.5,36.8,35.8,5.8,35.8,31.2,12.4,19,0
11.3,2.5,41.1,42.3,12,10.9,19.4,65.7,35.2,32.5,6.4,35,32.5,14.2,18,0
12.3,2.3,42.6,41.1,10,6.9,17.9,59.4,29.9,29.6,4.8,36.6,32.6,11.6,18,0
13.7,4,42.7,40.6,7,11.8,19,73.4,38.8,35.6,6.2,30.3,29.7,14.2,21,0
13.1,3.1,43.9,40.8,7,12.7,18.7,75.9,39.1,34.9,6.1,30.9,31.8,14.7,26,0
15.7,4.3,45.8,43.8,9,13.3,18.8,79.4,40.4,35.7,8.1,37,33.7,17.3,21,0
15.6,3.1,46.6,43.7,9,10.8,17.9,82.1,38,37.1,6.1,37.6,34.7,14.1,22,0
13.4,3.3,41.9,42.5,11,12.1,20.5,73.6,37.4,37.9,7.4,33.7,33,14,20,0
12.5,2.6,42.3,39,9,10.8,18.8,67.1,37.5,34.8,6.8,35.8,33.1,12.9,22,0
13.1,3.2,45.3,41.4,4,11.6,15.9,71.5,39.5,32.4,7.2,35,31,14.9,27,0
15.5,4.1,45.2,41.8,8,10,19.2,72.1,33.8,35.6,5.1,31.4,34.4,13.2,22,0
14,2.4,44,41.6,11,11.2,17.9,73.5,37.7,34.4,5.8,36.5,34.4,13.6,18,0
13.5,4.3,46.7,37.4,3,12,17.8,78.2,39.5,33.8,4.6,36.2,29.7,12,30,0
14.5,6.9,48.3,38,6,11.7,18,77.8,40.1,35.8,6.5,39.5,32.3,15.8,24,0
15.2,3.9,46.4,43.5,8,10.7,18.7,75.7,35.9,31.9,7.2,37.2,38.8,14.2,22,0
15.6,3.6,43.6,38,9,10.6,18.2,70.7,38.4,36.5,7.7,35.3,32.5,15.6,21,0
17.9,3.2,49.5,42.1,3,10.9,18.7,88.9,37.1,36.2,7.1,36.3,30.3,14.2,29,0
15.6,3.5,42.7,43.9,11,14.1,19.6,74.3,39.4,37.9,7.9,33.8,34.2,15.3,19,0
16.7,4.5,46.9,40.7,8,12.4,18.5,80.5,38.9,34.4,7.3,35.3,33.3,14.9,22,0
15.5,3.5,44.7,42.9,9,12.1,16.9,76.4,38.4,36.3,7.4,32.1,30.9,14.2,21,0
15.8,3.5,47,38.5,3,11.8,16.9,81.1,41.6,32.5,5.7,39.1,33.2,13.9,29,0
14.3,3.4,47.9,43.1,6,12,18.2,79.9,37.6,34.7,6.8,35.3,30.1,14.6,26,0
16.5,3.5,45,40.8,5,8.6,18.3,71.7,33.3,34.7,5.2,38,33,12.3,27,0
13.3,3.1,40.6,42,14,11.3,18.3,63.1,35.7,29.9,6.8,33.8,38.4,14.2,18,0
13.2,1.4,43.6,44.9,13,10.6,20.8,73,34.3,36.5,5.9,40.6,33,12.6,20,0
16.9,4,47,41.6,8,9.8,19.7,77.4,36.1,32.3,5.6,36.7,34,14.6,24,0
14.7,5,46,40.8,11,9.6,17,70.5,35.1,33.4,7.1,41,35.9,13.6,20,0
20.7,5.5,50.6,40.2,3,13.9,18.1,90.9,44.2,35.5,8.6,41.7,36.1,16.3,29,0
13.4,2,46.9,41.8,5,11.8,19,75.9,36.7,31.7,4.8,36.5,32.6,10.9,27,0
14.7,4.8,44.8,41.2,9,13.7,18.2,76.9,40.1,34.4,7,31.6,33.7,14.3,20,0
13.9,3.4,47.2,40.1,6,11.6,18.1,73,35.8,30.9,6.2,37.9,32.1,13.7,26,0
19.8,6,48.2,39.9,4,11.6,17.8,85,41,37.3,7,37.4,31.7,13.7,26,1
12.9,5.1,44,40.7,8,11.1,19.2,70.1,37.4,34,7.6,36.7,32.8,16,21,0
16.2,5.9,43,40,7,10.4,18.4,74.8,36.7,38.5,7.4,34.5,30.9,14.4,24,0
14.1,3,46.2,39.5,11,10.4,18.7,69.4,37.5,29.6,7.2,39.3,29.8,14.8,19,0
16.2,3.6,48,41.2,7,11.5,17.6,73.8,38.6,32.5,7.9,34.8,30.1,16.7,26,0
15,4.3,45.8,44.7,11,13.3,19.1,79.9,39,34.4,7.2,39.1,36.4,14.2,21,0
14.6,3.8,45.5,43.7,14,8.7,20.8,71.5,33.8,35.7,6.5,35.7,37.3,15,16,0
14.5,4.9,45,44.6,12,14.4,19.2,78.6,40,34.3,7.6,32.2,33.5,14.3,19,0
16.1,2.1,45.2,44.2,10,9.1,18.8,75.4,32.9,33.1,6.8,36,31.4,13.2,22,0
19.1,4.9,45.9,39.7,10,11.5,16.4,78.8,40.8,37.6,7.2,37.9,33.3,13.2,21,0
15.1,2.3,48.4,43.7,7,9.5,18.8,73.8,32.7,29.6,5,37.6,32.1,13.3,23,0
14.4,3.7,44.3,40.6,4,13.4,19.9,78,39.9,34,5.8,35,29.9,11.9,27,0
14.3,3.4,44.8,40.7,8,13.3,18.1,71.7,39.9,33.6,6.8,32.7,30.7,15.1,23,0
13.8,1.9,45.7,43.2,10,9.4,19.7,71.9,33.3,30.9,7.3,37.9,31.6,15.3,20,0
16.6,3.3,48.7,42.9,8,9.8,18,85.5,36.4,34.2,6.8,42.2,33.8,13.7,23,0
17.5,3.4,47.9,41,6,7.3,17.7,73.2,32.3,33.7,6.9,39.9,33.6,13.1,25,0
14.4,5,45.5,41.2,8,11.4,20.7,81.3,37.8,39.4,5.5,36.7,36.7,14.4,22,0
16.9,4.5,47,39.5,5,11.7,17.4,72.3,38.5,32,5.3,32.3,28.8,14.1,27,0
15.2,4.8,46.1,40.3,7,12.1,20.7,75.5,38.8,35.7,6.6,36.5,35.9,13.7,26,0
14.3,3.7,47.6,42.9,11,10.7,20.9,74.4,36.9,33.6,8,35.9,33.2,15.3,21,0
12.9,4.1,41.7,39.4,18,9.5,21.2,69.9,38,37.6,7.3,34.6,33.6,15.2,16,0
11.5,3.8,40.1,42.2,11,13.8,20.2,70.3,37.6,37.6,7.2,28.7,33.1,15.1,20,0
16,4.3,45.1,42.1,9,13.2,19.4,80.7,41.8,33.3,7.1,34,35.1,13.6,19,0
15.2,3.9,45.3,43.8,11,13.6,19.4,78.1,39.9,35,6.6,36.8,36.6,15.5,20,0
18.4,4.2,46.6,42.3,8,11.7,15.8,79.1,38.3,39.9,6,37.6,35.5,12.4,23,0
17.2,4.5,47.7,43,6,9.5,16.6,80.2,35.7,34.4,6.8,40.6,34.7,12.8,26,0
14.5,2.8,47.2,42.5,11,10.5,16.9,75,36.4,33.7,5.7,39,33.3,15,19,0
14.6,2.8,44.9,39.2,10,8.6,18.1,66.6,35,31.4,5,40.3,31.4,13.9,20,0
13.8,3.2,43.5,40.9,9,10.1,18.2,67.9,34.2,35.4,5.9,37.3,32.1,12.2,22,0
15.9,4.1,44.1,42.2,9,13.7,19.9,77.9,39.6,36.4,5.2,34.5,33.7,12.3,22,0
14.6,2.7,46.9,44.5,8,7.3,18.8,67.3,30.7,30.8,5.8,40.5,32,13.4,21,0
17.3,4.1,44.9,41.8,7,12.2,17.2,77.7,38.5,36.6,6.6,35.2,35.4,13.2,25,0
15.5,3.3,46.5,41.6,3,11.6,19.2,77.8,38.4,32,6.1,38,32.8,14.3,28,0
16.3,4.1,47.8,44.2,12,11.6,19.3,82,38.6,35.7,7.6,36.6,34.4,14.6,20,0
11.7,4.1,41.8,41,11,11.3,19.4,67.5,38.2,35.2,6.8,30.8,31.3,14.8,19,0
12.7,1.9,43.6,45.6,12,8.5,16.8,67,32.1,32.3,6.5,35.6,34.8,12.8,18,0
13.5,4.4,45.6,40.9,8,11.5,19.8,75,39.8,32.3,7.6,30,36.1,14.5,21,0
12.5,4.5,44.9,40,5,10.5,15.8,72.4,37.1,33.3,6,35.6,30.7,13.6,25,0
12.1,3.9,42,41.8,11,11.9,18.1,69,37.5,33.7,5.3,32.2,33.4,12.9,17,0
17.8,4.3,46.1,40.7,3,13.6,17.5,85.2,42.8,36.4,6.3,35.3,32.1,14.4,25,0
15.8,4.3,48.2,44.7,11,11.3,19.5,77,36.3,32.2,5.8,32.4,33.8,13.6,19,0
13.3,5.1,46.5,41.7,11,10.9,16.5,70.8,35.4,33.3,7.9,34.4,32.8,15.9,20,0
13.7,4.6,46,42.9,7,9.3,18.3,71.1,34.9,33.7,6.8,34.7,36.2,15.2,23,0
12.5,1.8,47.3,44.6,5,7.3,16,67.2,28.4,30.7,5,38.7,35.3,10.6,25,0
13.4,2.6,46.3,40.6,8,9.1,21.4,71.8,35.4,31,5.4,40.3,32.3,13.4,23,0
15.8,3.8,50.4,46,6,9.6,20.6,79.8,34.3,31.3,8.4,39,37.1,17.9,24,0
15.7,2.8,46.6,43.4,8,9.8,17.2,74.2,35.4,34.6,5.8,37.4,33.8,13.8,21,0
12.3,4.3,41.2,40.1,11,10.8,19.1,67.4,35.5,35.3,4.1,34.4,34.8,10.5,17,0
13.3,6.7,44.4,40.2,11,12.8,17.8,75.2,42.4,36.8,6,32.7,34.5,13.9,20,0
15.6,4.5,50.5,43.5,13,10,20.7,74.2,35.6,31.2,9.1,36.1,33.7,16.6,19,0
15.2,7.5,46.9,37.9,9,13.4,18.2,79.5,42.9,37.4,7.5,38.6,31.4,15.1,21,0
16.8,4.5,49.8,43.5,4,9.9,17.4,79.1,34.1,32.4,6.5,39,34.2,13.1,29,0
15.1,3,45.1,42.8,5,12.2,17.6,72.7,36.4,31.5,5.8,35.9,37.3,12.9,24,0
13.4,5.4,45.3,43.3,6,11.9,21.1,81.1,36.7,35.2,6.2,36.3,33.8,13.7,24,0
14.5,5,46.5,43.2,10,12.2,19,82,38.6,36.1,7.9,35.2,34.8,17.9,20,0
16.4,4,47.6,42.3,7,9.2,17,75.3,35,33.9,6.3,39,32.9,13.2,24,0
15.8,3.5,47.3,41.8,8,10.7,18.7,77.5,37.7,31.9,6.9,37.6,36.9,14.2,23,0
15.8,4.5,46.2,40.6,4,10.6,18.6,70.3,36.5,28.5,6.5,36.2,33.2,13.3,26,0
18,3.1,47.9,37.8,6,8.6,18.7,74.6,35.4,32.6,5.7,36.6,30.9,13,24,0
13.8,5.1,42.6,41.6,12,9.6,18,69.9,36.4,36.1,6.3,34.9,29.4,11.3,20,0
13.4,1.8,44.9,47.9,13,10.2,19.3,71.3,32.9,32.4,6.8,34.3,36.2,15.8,20,0
17.1,5.1,49.4,40.2,7,13.1,16.7,82.7,42.1,34,6.9,33.5,36.3,14.6,25,0
15.9,4.9,48.8,41.5,3,11.8,17.4,77.3,36.8,30.9,6.3,35.6,33.3,13.9,29,0
16.5,4.6,46.3,40.7,6,11.8,22.6,81.6,38.2,36.1,5.8,36.2,31,13.2,24,0
16.1,4.1,48.2,41.1,10,9.8,16.3,72.7,35.5,33.1,7.4,37.7,35.4,13.9,21,0
13.9,3.8,44.7,42.1,6,9.7,21.7,75.8,34.6,35.8,7,34.6,32,13.9,23,0
16.2,3.5,48.2,41.6,5,11.3,18.9,78.5,36.8,32.4,6.5,39.8,33.2,12.9,23,0
18.2,6.4,46.4,37.8,9,11.7,19,79.7,40.1,37.4,7,39,32.2,13.8,19,0
16.4,5.1,43.5,40.6,6,12.8,18.7,74.4,40.1,36,7.3,34.4,32.4,13.6,23,0
13.5,3.5,45,40.3,12,9.2,20.1,67.6,35,29.4,6.4,37.5,33.2,13.9,19,0
14.4,3.7,46.9,40.1,9,11.2,15.8,69.4,37.3,31.1,7.6,34.1,32.7,15.3,21,0
13.7,4.4,44.4,40.8,10,12.2,17,72.4,39.7,36.4,6.8,36.1,33.3,13.6,21,0
14.7,3.2,45.6,44,12,8.7,18.7,72.5,31.9,32.2,7.5,35.6,33.8,14,18,0
16.4,5.6,44.7,41.2,9,9.9,16.2,79.2,38.5,38.7,6.8,38.5,36.7,13.1,22,0
14.2,3.6,44.6,41.2,6,11.2,18.2,70.4,36.9,32.4,5.5,39.2,32.1,12.1,24,0
12.6,5.2,44.8,39.4,9,11,20.2,69.5,37,35.8,6.7,36.6,34.1,14.7,21,0
17.3,2.8,45.8,42.2,9,9.9,20.9,81.5,36.2,36.9,6.5,38.6,34.9,15.2,23,0
14.9,2.1,46.6,40.7,5,8,17.9,69.9,33.1,30.9,6.9,41.1,34.2,13,22,0
17.8,4.1,50.6,39,4,9.8,17.9,74.9,36.3,29.6,6.1,36.4,30.7,14.4,26,0
12,2.8,43.7,41.1,10,9.2,19.9,71.9,33.9,34.4,5.4,33.7,31.8,13.7,18,0
10.2,2.9,45.4,41.6,10,11.3,20.7,72.2,37,35.6,9.7,33.3,34.4,19.3,20,0
13.8,3.1,47.1,44.8,6,9.6,19.3,74.4,33.4,34.5,5.1,38.7,40.6,12.5,24,0
16.2,5.7,45.7,39.1,6,10.4,19.5,73,37.2,35.2,6.9,35.3,32.2,15.6,23,0
16.5,3.4,47,42.8,11,10.1,20.1,75.5,38.2,33.3,7.7,37.9,35.4,17.6,18,0
13.9,5.5,44.3,37.2,6,9.7,18.8,70.4,35.3,35.5,6.1,36.3,33.2,12.6,23,0
14.6,3.5,44.2,40.7,8,12.4,18.8,72.5,38.8,33.8,6.5,35.6,30.6,14.2,23,0
14.9,7.1,47.5,39,5,12.5,16.9,79.6,40.8,38.4,6.9,34.4,30.4,14,24,1
14.5,3.7,44.6,41.5,6,14.4,20.5,79.3,42,35.1,6.9,35.6,34.9,12.8,22,0
14.2,2.2,44.8,43.1,12,11.9,18.6,73.4,37.9,34.5,7.9,33.4,33.7,15.3,18,0
15.6,5.3,43.4,41.5,5,13.6,16.8,80.3,40.3,38.9,6.2,34,33.3,13.3,26,0
14.8,4.8,46.6,40,9,10,17.1,73.4,37.1,35.2,6.8,36.8,30.8,14.1,22,0
13.4,3.1,43.4,45.2,16,10.7,19.3,72.5,35.8,37.1,8.8,36.2,36.2,15.9,14,0
14.7,1.9,45.9,40.4,6,8.8,18.4,71.4,33,35.1,5.5,37.2,31.2,11.3,24,0
13.2,3.8,45.4,41.5,7,8.8,20.1,67.2,33.4,30.8,6,38.3,31.8,12.7,24,0
14.2,2.1,46.4,43.5,8,11.1,16.1,66.4,34.6,27.9,4.9,34.2,34.6,12,24,0
14.6,3.2,44.8,40.9,11,11.6,15.6,69,39.7,31.9,7.3,34.3,32.9,14.3,21,0
14.3,3.6,46.2,43.1,8,11.3,18.4,73.6,36.2,33,6.1,36.5,30,14.9,24,0
16.1,2.9,47.3,46.2,10,10.7,17.6,75.5,34.1,32.3,7.7,38.7,37.8,15,21,0
14.2,4.6,45.3,39.7,5,13.4,18.6,77.8,41.7,32.1,7.6,34.1,33.5,15,24,0
14,0.8,46.8,45.7,5,9.9,18.8,74.5,33.7,31.8,5.5,32.8,34.9,12.5,26,0
16.9,3.6,47.1,43.7,7,9.9,20.2,77.1,34.6,34.4,7.8,35.9,35.8,14.7,24,0
13.2,2.8,46.3,43.2,7,9.1,14.9,70.3,32.8,30.8,4.7,35.7,33.4,10.4,22,0
16.3,3,44.8,41,5,12.6,15.6,77.6,39.4,33.8,6.4,36.1,32,12.8,25,0
13.3,2.4,48.1,44.7,6,5.4,16.6,59.9,21.5,28.1,4.7,37.9,28.8,10.2,22,0
11.9,3.4,45.1,41.7,12,9.5,17.9,72.1,34.8,34.2,4.8,37.8,35.9,12.5,17,0
10,3,41.5,41.7,14,10.1,18.8,60.5,33.9,31.9,8.3,34.9,36.6,17,16,0
18.7,4.5,48.6,44.1,9,12,16,87.1,39.4,35.2,7.2,38.6,36.2,14.7,20,0
15.8,3,45.6,40.5,9,11,15.7,68,36.2,33,7.1,32.6,31.9,13.2,23,0
14.8,3.3,48.7,45,8,9.2,18.8,73.3,34,28.3,6.6,35,35.1,13.5,21,0
16.1,2.9,45,41.7,8,13,18.9,79.1,40.7,36.2,6.7,34,32.4,15.1,21,0
16.2,5.3,45.8,39.4,6,11.8,19.3,76.7,37.4,33.5,5.7,38.7,33.1,12.3,24,0
17.5,8.1,48,36.9,6,13.3,15.9,78.8,44.7,34.9,6.9,40.2,32.3,13.5,27,1
14.8,2.8,44.6,40.8,8,11.4,17.5,68,38.5,31.5,6.6,32.1,33.6,13.8,24,0
13.7,2.3,46.6,41.9,9,11.2,17.5,70.5,36.3,32.2,6.2,36.2,34.9,13.1,21,0
14.5,6.5,47.1,40.6,5,11.6,18.8,79.8,36.6,34.2,6.6,36.4,32.4,13.6,27,0
15.3,5.8,45.9,40.8,5,10.6,16.8,79.3,38.4,38.6,6.6,34.7,31.9,15.5,27,0
16,1.6,47.5,46.5,12,7.6,20.2,70.1,30.6,31.1,7.1,36.7,34.6,14.9,17,0
15.9,3.2,48.2,41.6,10,8.2,18.9,76.4,34.8,34.1,7.4,37.7,32.7,14.6,20,0
12.9,1.6,41.7,44.5,16,9.4,21.9,72.5,34.2,37.5,7.7,35.2,32.5,16.7,14,0
15.2,4.5,46.5,38.8,9,9.9,20.9,76.6,37.4,37.3,7.1,36.6,29.7,15.1,23,0
18,3.7,51,38.4,2,10.5,16.1,81.8,39.9,31.6,6.1,39.8,35.1,13.3,27,0
14.6,2.7,45.1,43.5,7,11.2,17.9,69.5,35.2,32.3,6.5,38.5,35.7,12.5,24,0
17.1,3.7,46.7,41.9,6,10.7,18.7,72.8,34.9,32.2,6,34.9,33.9,11.7,24,0
17.3,5,46.5,39.1,8,11.1,20,75.8,39.6,35.5,6.9,33.5,31.5,14.7,21,0
15.7,3.4,47.2,40.3,4,10.8,18.3,73.9,36.3,31.5,7.2,35.5,32.8,14.5,26,0
16.7,2.2,46.5,43.7,8,10.7,18.5,77,34.3,35.4,5.4,37.1,32.1,14.3,20,0
13.3,3.5,42.4,40.9,10,10,18.6,67.2,36.7,34.6,7.6,34.6,35.8,14.3,20,0
14,3.2,42.8,43.1,14,12,19.4,69.2,37.6,35.5,8.1,30.7,32,15.7,18,0
15.3,5,41.9,38.2,9,10.6,20.5,73.2,38,37.4,6,33.8,31.8,13.7,20,0
10.9,4.1,44.2,41.7,5,10.1,20.4,74.5,34.9,33.5,6.1,36.8,32.2,12.4,24,0
14.1,6.7,44.1,40.5,11,14.1,19.7,77.4,41.4,38.5,7.7,33.7,36.6,15,19,0
14.2,5,42,40.5,7,12,18,72.4,38,34.6,6.3,35.9,35.8,12.7,21,0
14.8,1.8,49.2,45.7,11,7.8,21,71.3,30.1,28.5,7.1,40.1,35.1,14.2,18,0
13.9,4.4,46.5,41.1,3,13,16.3,77.3,41.1,33.1,7.2,35.4,35.7,15,25,0
13.8,2.5,41.7,42.3,11,7.9,17.5,68.3,33.1,37,7,35,35.6,13.4,21,0
18.7,4.3,49.3,43,5,11.1,18,80.3,37.2,32.7,6.8,34,32,13.9,28,0
17.9,4,45.8,44.4,10,13.7,18.5,82.1,39.8,35.6,8.2,35.1,35.2,15.3,18,0
13.2,2,44,41.9,9,7.2,16.7,69.3,34.5,34.7,6.3,35.4,32.6,12.5,21,0
14.6,2.2,45,42.2,9,9.1,18.6,72.9,33.9,33.5,6.9,34.5,31.3,13.2,20,0
14.1,4.5,45.3,41.4,8,11.8,18.4,75.9,38.9,33.2,6.2,34.3,30.5,12.9,23,0
16,3.7,51.3,41,3,10.3,18.7,77.1,35.7,30.6,6.1,37.6,31.2,13.2,27,0
14.5,3.1,46.8,40.2,7,7.9,17,68.8,33.3,32.7,6.8,35.6,32.4,14.1,24,0
14.5,4.7,47.1,38.6,4,11.3,14.8,67.9,36.7,31.4,5.3,30.6,30.8,12.2,29,0
13.4,3.2,48.1,40.8,7,7.3,18.1,62.9,30.7,27.8,6.3,33.8,32.4,12.8,20,0
15.7,4.9,45,42.3,8,10.6,16.2,71,33.7,33,8.3,36.2,33.3,14.9,20,0
12.3,4.3,41,39.7,12,10.9,18.7,64.5,35.6,35.5,6.5,31,27,12.9,20,0
14.7,5.2,43.4,39.4,10,10.9,17.9,70.1,36.1,37,6.6,32.7,29.1,13.1,23,0
14.1,3,44.3,42.6,4,11.2,19.2,71,35.4,34.8,6.1,33.8,31.8,11.8,25,0
13.1,3.1,45.8,40.3,9,9.8,18.4,71.9,36.6,34.2,6,34.7,30.5,12.9,20,0
16.3,3.4,47.5,40.3,1,8.4,17,77.4,32.7,36.4,6.6,40.4,28,11.4,27,0
16,4.4,47.9,38.5,1,10.3,17.8,73.6,36.9,30.4,6.1,36.4,32.9,14,29,0
15,6.5,46.3,40.2,7,12,17.9,73.1,38,37.2,6.7,32.8,29.3,12.4,21,0
13.5,3.8,44.2,39.6,7,14.6,19.5,76.6,41.1,34.3,5.8,37.2,30.8,11.7,23,0
14.9,3.2,46.3,43.1,10,9.6,16.4,73.2,33.7,35.4,6.1,33.7,35.3,12.4,22,0
12.8,3,42.9,42.5,13,11,19.2,72.7,38,37.1,7.8,36.1,34.3,16.9,19,0
17.5,3.6,44.2,43.1,9,10.7,21.2,75.4,35.1,40.5,6.5,33,31.6,13.3,20,0
16.8,4.5,45.7,39.7,5,11,18.5,70.4,36.4,31.9,7.9,35.3,32.7,15.1,25,0
12.9,3.4,47.1,41.4,8,9.7,16.9,64.7,34.9,27.3,6.9,38.7,31.6,13.5,24,0
16.3,2.7,47.7,41.6,7,8.9,17.9,77.5,34.6,34.7,5.8,38.4,33.6,13.8,24,0
13.1,3.9,47.5,40.5,7,10.5,17.7,71,37.4,32.9,7.7,39.2,34.6,16.2,23,0
15.3,3.1,44,42,12,10.2,22.4,71.5,38.2,35.7,7.9,30.8,32,16,18,0
16.5,3.4,44.9,41.1,9,9.6,17.5,73.2,34.9,34.5,6.2,36.7,34.6,12.6,21,0
14.4,2.8,42.3,42.9,8,10.3,15.4,66,36.4,34.2,6.3,32.9,32.3,12.4,22,0
15.3,2.7,45.9,43.2,4,12.5,19.3,78.5,38,32.1,5.7,37.1,33.8,13.2,26,0
15.7,3.1,47.6,44.9,9,12.2,20.6,83.5,37.1,34,7.7,38.6,37.3,14.5,19,0
16.2,2.9,46.6,46.7,11,10.9,21.5,82,35.6,36,6.6,35.3,33.9,15,19,0
13.3,2.8,44.7,42.1,6,9.8,15.3,68.4,32.8,30.3,5.1,33.7,33.3,9.9,24,0
13.4,2.3,44.1,41.4,10,10.6,16.6,71.2,36,34,6,37.6,30.3,12.2,23,0
14.2,4.5,48.3,40.5,7,9.6,14.7,75.8,37.2,31.5,5.8,39.4,36.6,12.7,24,0
13.3,3.9,40.1,42.3,13,11.1,19.3,69.7,38.5,43.1,7.1,30.2,29,14.8,18,0
16.5,3.9,47.8,43.4,6,12,16.1,79.7,36.9,32.7,6.8,40.2,35.1,14.6,27,0
17.6,3.9,45.6,41.4,4,12.6,15.1,72.5,37.9,33,7.1,34.2,35.7,13.3,24,0
12.6,2.9,44.4,39.2,9,8,19.1,63.5,31.6,31.2,6.9,36.9,32.6,15.2,22,0
14.1,3.2,43.2,43.7,7,12.8,17,77.8,38.3,37.1,5.4,36.8,31.6,13.2,21,0
15,6.8,43.8,37.4,7,12.5,17.8,75.9,41.1,36.9,5.8,34.9,34.3,13,24,0
17.1,8.9,46,37.9,7,13.5,15.8,78,45.6,34.3,8.5,34.7,30.7,15,22,0
14.2,3.3,45.2,44.4,10,8.6,17.6,71.2,31.3,34.1,6.1,41.4,36.2,11.9,23,0
10.6,2.8,42.1,47.1,13,8.9,16.3,61.9,27.6,31.1,6.1,34.2,37.5,13.5,19,0
12.8,6.7,44.5,39,5,11.7,18.6,78.2,38.3,36.8,7.5,38,30.6,13.3,25,0
15.5,3.9,47.7,43.1,8,10.5,19.3,72.8,35.4,32.7,7.9,35.1,35.6,14.5,22,0
15.2,4.4,45.3,45,12,10.8,18.9,73.7,36.4,35.1,6.4,34.8,35.8,14.1,20,0
14.8,4.6,48.2,41,7,9.8,18.7,76.2,37.1,31.4,6.6,39,31.6,13.7,23,0
16.1,4.3,47.6,42.6,7,11.7,17.5,76.9,36.7,33.7,7.5,36.2,34.4,14.8,22,0
14.7,5.1,45.2,39.1,11,10.8,20.2,74.1,39.1,36.8,7.1,33.3,31.5,14.9,19,0
15.5,3.7,50.3,41.6,4,11.1,17.3,79.3,38.6,30.7,5.8,37.8,35.2,13.2,25,0
18.6,3.2,48.4,41.5,1,9.8,15.7,77,34.3,31.4,4.9,39.2,35.8,10.9,32,0
15.2,5.3,45.9,41.9,11,9.7,18.7,72.9,36.4,35.3,6.9,37.6,34.9,14.2,21,0
14.4,3.8,43.7,41.5,11,10.6,16.9,68.1,36.2,36.2,7.3,29.2,30.7,13,18,0
16.5,3.8,47.6,38.8,6,10.4,19.1,75,37.8,34.4,7.2,36.7,31.9,14.3,23,0
