@relation tournament_winnersStripped

@attribute assists_per_game numeric
@attribute blocks_per_game numeric
@attribute field_goal_percentage numeric
@attribute field_goal_percentage_allowed numeric
@attribute losses numeric
@attribute offensive_rebounds_per_game numeric
@attribute pf_per_game numeric
@attribute ppg numeric
@attribute rebounds_per_game numeric
@attribute rebounds_per_game_allowed numeric
@attribute steals_per_game_allowed numeric
@attribute three_point_percentage numeric
@attribute three_point_percentage_allowed numeric
@attribute turnovers_per_game numeric
@attribute wins numeric
@attribute won_tournament {0,1}

@data
13.6,5.5,42.6,40.6,8,11.7,20.2,75.9,38.8,41.2,7.8,37.7,34.8,15.7,20,0
15.9,3.3,49,46.2,8,12.2,19.7,83.1,36.2,35.9,6.8,34.5,37.5,16.7,22,0
13.3,3.1,42.2,40.5,12,10.9,17.8,69.8,38.5,37.1,6.1,34.3,30.2,13.9,20,0
14.6,3.3,48,38.6,3,9.9,18.2,70,36.9,27,6.1,37.2,30.5,13.5,25,0
10.7,2.1,48.5,43,7,10.3,17.4,71.8,35.4,29.7,4.8,43.1,33.3,13.7,25,0
15.9,2.7,47,42.1,9,11.7,19.5,73.9,37.4,32.5,7.1,37.5,36.2,14.9,21,0
15.3,2.4,47,44.2,7,9,19.1,78.8,32.6,36.7,5.1,40.9,36,14.7,20,0
15.9,3.5,46.1,43.7,8,14.7,18.3,80.2,40.2,37.2,7.1,33.2,31.4,13.4,22,0
15.4,3.8,48.8,46.2,9,10.3,17,78.6,35.5,33.1,8.3,35.3,35.3,17.6,18,0
16.4,2.7,48.4,44.7,7,13.1,21.7,83.5,36.8,31.7,7.5,34.9,32.7,17,22,0
13.5,4,41.8,39.6,6,16.1,19.9,75.8,45.5,37.6,9.4,32.3,31.9,19.3,23,0
14.3,3.2,46.8,42.3,6,13.6,18,82.2,42.2,33.9,8.6,35,36,17,22,0
16.4,4.1,44.6,42,10,12.4,18.5,78.7,36.7,39.5,5.8,36.8,35.3,14.4,22,0
14.9,3.4,45.7,43.7,11,10.3,19.3,73.5,34.2,36.6,7.3,32.6,32.1,14.9,18,0
14,3.3,43.4,39.6,3,17.3,19,81.2,43.9,34.8,5.5,34.8,32.6,12.8,27,0
14.1,4.5,46.4,38.2,5,12.8,18.6,73.9,39.1,32.6,6,32.7,34.1,14.5,26,0
14.1,6.2,48.8,38.8,2,11.4,16.5,72.8,37.5,30.6,6.5,36.7,33,14.5,28,0
15.3,4.1,46.7,38.7,2,12.2,16.7,77.3,40.5,33.2,6.7,34.4,28.8,14.5,28,1
14.5,2.8,45.5,45,8,12.4,19.2,76,36.4,30.6,7.6,38.2,36.8,15.3,21,0
14.7,4.5,46.8,40.8,5,9.3,17.5,77.2,36.5,37.2,7.3,37.3,31.6,14.7,25,0
16.3,6.3,51.4,39.1,1,13.8,18.3,91.8,42.2,33.4,7,39.6,30.1,14.8,32,0
17.2,1.8,50.5,44.5,9,7,17.9,75.8,32.5,32.7,8.4,40.7,35.2,15.9,23,0
16,3.8,47.3,42.7,8,10,19.7,80.3,36,35.2,8.6,37.9,34,17.9,20,0
10.7,2.9,38.8,43,18,15.6,23.8,73.1,43.8,41.9,8.1,28.8,37.6,18.9,12,0
13.2,4.5,45.6,42.9,10,11.9,18.3,73.8,36,37,6.8,35.6,37.3,15,19,0
15.2,2.8,41.3,45.3,8,14.8,22.4,79.4,39.2,38.8,6.7,31,34.8,14.5,20,0
16.3,3.9,47.4,40.4,6,10.6,18.5,78.4,37.3,33.8,6.5,39.8,31.1,14.2,25,0
16.6,3.4,46.9,41.9,10,9.6,17.3,75.4,35.7,37.2,6.9,36.1,34.6,15.3,22,0
15.1,2.7,46.3,45.2,9,12,18.2,73.9,35.3,31.1,8.6,37.3,37.7,17.6,18,0
15.8,4.3,44.8,39.1,9,11.9,17.9,72.1,40.9,37,8.2,34.2,30.5,15.6,22,0
16.1,5.2,47.7,38,8,12.2,16.9,75.4,39.6,33.9,7,33.3,32.9,14.8,25,0
15.5,4.4,43.2,40.2,7,9.6,19.5,72.2,35.7,37.2,7.1,34,32.2,14.8,22,0
16.8,4.8,47.1,43.7,10,12.5,21.4,76.9,35.1,37,8.3,33.9,31,16.6,19,0
19.8,5.9,49.5,38.8,5,12.3,19.9,84.5,39.5,35.6,7.8,36.4,30.3,16.7,26,0
15.3,5.3,47.3,38.4,6,11.3,17.3,72.6,39.4,34.6,10.5,33.3,31.4,19.1,22,0
12.1,1.9,44.8,42.1,7,8.7,18.2,67.6,32.5,31.6,5.5,33.6,31.3,11.9,22,0
15.1,2.6,47.3,42.6,4,13.4,18.2,71.7,36.4,27.1,6.3,33.9,31.9,14.2,29,0
15.3,5.8,45.3,40.1,10,10.6,18.1,68.9,38,34.1,7.3,37.4,35.8,14.8,17,0
